what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606754682756
java.specification.version,sysinfo,,,"1.6",1606754682756
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1606754682756
java.version,sysinfo,,,"1.6.0_23",1606754682756
java.vm.info,sysinfo,,,"mixed mode",1606754682756
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1606754682756
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1606754682756
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606754682756
java.vm.specification.version,sysinfo,,,"1.0",1606754682756
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1606754682756
java.vm.version,sysinfo,,,"19.0-b09",1606754682756
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1606754682959
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1606754682975
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1606754683006
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1606754683491
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1606754683522
started,bundle,com.altera.sbtgui.ui,11.1.0.259,"com.altera.sbtgui.ui",1606754690052
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1606754690098
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1606754690317
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1606754691755
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1606754691802
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1606754692458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606754695318
