what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1606816098342
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606816108423
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606816110346
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1606816120333
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606816120349
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.closeAll",1606816120380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816140661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816145320
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1606816145335
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1606816159747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816160053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816167681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816180325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816187671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816187702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816191984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816192000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816305017
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1606816305032
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816312770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816316589
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816322465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816326451
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816339719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816342908
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816342939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816347184
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816347199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816425516
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1606816425532
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606816427189
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1606816443567
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1606816443645
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606816507241
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816519108
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816522782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816533490
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816537387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816555387
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816559570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816559601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816576839
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1606816576855
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816578637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816582485
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816582500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816586681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816586712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816588415
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816590182
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816593402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816593433
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816597590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816597605
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816599387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816614593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816618032
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1606816620610
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606816623482
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606816639831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816642618
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816646025
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606816791120
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606816810483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816842633
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606816877371
